metabolite	B_breve_689b_C_rxn_consume	Lco_lactis_1064-C11_S_rxn_consume	St_thermophilus_CBC-S77_S_rxn_consume	B_breve_689b_C_rxn_produce	Lco_lactis_1064-C11_S_rxn_produce	St_thermophilus_CBC-S77_S_rxn_produce
CPD-24469	RXN1P3V-74					
CPD-13294	RXN-19769					
CPD0-1942	RXN-20400					
DIHYDROXYNAPHTHOATE	RXN-11047;RXN-9365;RXN-9360;RXN-9217;RXN-9358;DMK-RXN;RXN-9190;RXN-9359;RXN-19668;RXN-9204	RXN-11047;RXN-9365;RXN-9360;RXN-9217;RXN-9358;DMK-RXN;RXN-9190;RXN-9359;RXN-19668;RXN-9204				
CARBON-DIOXIDE	RXN-8457	RXN-8457		3.5.1.29-RXN;PREPHENATEDEHYDRAT-RXN;RXN-9217;RXNQT-4171;RXN-13158;RXN-18207;RXN0-745;RXN-9952;ACETOOHBUTSYN-RXN;RXN-11047;RXN-9365;3-OXOACYL-ACP-SYNTH-RXN;RXN0-746;RXN0-723;DMK-RXN;RXN0-5224;RXN-9359;RXN-18205;RXN0-724;RXNQT-4174;PREPHENATEDEHYDROG-RXN;RXN-18201;ACETOLACTSYN-RXN;QUINOPRIBOTRANS-RXN;RXN-6081;RXN-9360;RXNQT-4165;RIBONUCLEOSIDE-TRIP-REDUCT-RXN;RXN0-1134;ISOCITDEH-RXN;RXN-9190;RXNQT-4178;OROTPDECARB-RXN;DXS-RXN;2.3.1.180-RXN;RXN-9632;RXNQT-4168;DIAMINOPIMDECARB-RXN;RXN-7800;GCVMULTI-RXN;RXN-18203;RXN-9358;RXN-14986;RXN-18211;RXN-9204;RXN0-5222;RXN-19668;ACETOLACTATE-DECARBOXYLASE-RXN;RXN-18209	PYRUFLAVREDUCT-RXN;RXN-19631;RXN-9531;PREPHENATEDEHYDRAT-RXN;RXN-9217;LYSDECARBOX-RXN;RXNQT-4171;RXN-16629;RXN-13158;RXN-18207;RXN0-745;RXN-9952;ACETOOHBUTSYN-RXN;RXN-11047;RXN-9365;RXN-21078;3-OXOACYL-ACP-SYNTH-RXN;RXN-18211;RXN-16003;2.5.1.64-RXN;RXN-802;RXN0-723;DMK-RXN;4.1.1.74-RXN;RXN-16002;RXN0-746;IGPSYN-RXN;RXN-16001;RXN-18205;RXN-9359;RXN0-724;RXNQT-4174;PREPHENATEDEHYDROG-RXN;RXN-18201;ACETOLACTSYN-RXN;RXN-9527;RXN-3341;RXN-6081;RXN-9360;RXN-9539;RXNQT-4165;RIBONUCLEOSIDE-TRIP-REDUCT-RXN;RXN0-1134;ISOCITDEH-RXN;RXN-16819;RXN-9190;RXNQT-4178;OROTPDECARB-RXN;RXN-9523;PYFLAVOXRE-RXN;DXS-RXN;2.3.1.180-RXN;RXN-9535;RXN-9516;RXNQT-4168;THREOSPON-RXN;RXN-12610;DIAMINOPIMDECARB-RXN;3-OXOACYL-ACP-SYNTH-BASE-RXN;RXN-7800;RXN-18203;1.2.3.3-RXN;RXN-9358;RXN-12611;RXN-14986;RXN-801;RXN-18209;RXN-9204;RXN0-5222;RXN-19668;ACETOLACTATE-DECARBOXYLASE-RXN;GLUTDECARBOX-RXN	PREPHENATEDEHYDRAT-RXN;RXN-16621;RXNQT-4171;RXN-16629;RXN-13158;RXN-21239;RXN-18207;RXN-16615;RXN0-745;ACETOOHBUTSYN-RXN;RXN-16625;3-OXOACYL-ACP-SYNTH-RXN;RXN0-2141;RXN-18211;RXN0-746;RXN0-723;UREASE-RXN;RXN0-5224;IGPSYN-RXN;RXN-18205;RXN0-724;RXNQT-4174;PREPHENATEDEHYDROG-RXN;RXN-18201;ACETOLACTSYN-RXN;RXN-10654;RXN-6081;RXNQT-4165;RIBONUCLEOSIDE-TRIP-REDUCT-RXN;ISOCITDEH-RXN;RXNQT-4178;2.3.1.180-RXN;RXNQT-4168;DIAMINOPIMDECARB-RXN;RXN-7800;RXN-10658;RXN-18203;RXN-12539;RXN-14986;RXN-18209;RXN0-5222;ACETOLACTATE-DECARBOXYLASE-RXN;GLUTDECARBOX-RXN
C6	RXN-16650	TRANS-RXN0-286;RXN-16650	TRANS-RXN0-286;RXN-16650	NACGLCTRANS-RXN	TRANS-RXN0-286;NACGLCTRANS-RXN	TRANS-RXN0-286;NACGLCTRANS-RXN
PYRIDOXAL_PHOSPHATE				RXN-11322;PYRIDOXKIN-RXN	PYRIDOXKIN-RXN	PYRIDOXKIN-RXN
CPD-15374	RXN-15143	RXN-15143	RXN-15143			
L-DI-GMP				RXN0-4181		
CPD-19492	RXN-18211	RXN-18211	RXN-18211			
