pathway	B_breve_689b_C_completion_rate	Lco_lactis_1064-C11_S_completion_rate	St_thermophilus_CBC-S77_S_completion_rate	B_breve_689b_C_rxn_assoc (sep=;)	Lco_lactis_1064-C11_S_rxn_assoc (sep=;)	St_thermophilus_CBC-S77_S_rxn_assoc (sep=;)
PWY-7816	NA	NA	NA	2.7.7.40-RXN;TRANS-RXN-314;RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN	RXN-18014;TRANS-RXN-314;UDPGLCNACEPIM-RXN;6.1.1.13-RXN;2.7.7.40-RXN;GLCNACPTRANS-RXN	RXN-18014;TRANS-RXN-314;GLCNACPTRANS-RXN;6.1.1.13-RXN
PWY-6160	NA	NA	NA	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN
PWY-8138	NA			EXOPOLYPHOSPHATASE-RXN;POLYPHOSPHATE-KINASE-RXN		
PWY-0	NA	NA	NA	RXN-0	RXN-0	RXN-0
PWY-6897	NA	NA		PWY-6910;THIAZOLSYN3-RXN	PWY-6910;THI-P-SYN-RXN;THIAZOLSYN3-RXN	
PWY-8291	NA	NA		ASPARTASE-RXN;GLUTAMINESYN-RXN	GLUTAMINESYN-RXN	
RIBOSYN2-PWY	NA	NA	NA	RIBOPHOSPHAT-RXN	RIBOPHOSPHAT-RXN;RIBOFLAVIN-SYN-RXN;LUMAZINESYN-RXN	RIBOPHOSPHAT-RXN
PEPTIDOGLYCANSYN-PWY	NA	NA	NA	PHOSNACMURPENTATRANS-RXN;NACGLCTRANS-RXN;PWY-6387	PHOSNACMURPENTATRANS-RXN;NACGLCTRANS-RXN;PWY-6387;TRANS-RXN0-286	PHOSNACMURPENTATRANS-RXN;NACGLCTRANS-RXN;PWY-6387;TRANS-RXN0-286
ASPARAGINE-DEG1-PWY-1	NA	NA	NA	ASPAMINOTRANS-RXN	ASPAMINOTRANS-RXN;ASPARAGHYD-RXN	ASPAMINOTRANS-RXN;ASPARAGHYD-RXN
PWY-6308	NA	NA	NA	RXN-16637	RXN-16637	RXN-16637
GLYCLEAV-PWY	NA	NA	NA	RXN-8629	RXN-8629	GCVT-RXN;RXN-8629
NAD-BIOSYNTHESIS-II	NA	NA	NA	RXN-5841;NADPYROPHOSPHAT-RXN	NADPYROPHOSPHAT-RXN	RXN-5841
PWY0-1586	NA	NA	NA	RXN-16660;RXN-16665;RXN-16659;RXN-16650;RXN-16649	RXN-16649;RXN-16650;RXN-16659	RXN-16649;RXN-16650;RXN-16659
PWY-8173	NA	NA	NA	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
ANAGLYCOLYSIS-PWY	NA	NA	NA	2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;PGLUCISOM-RXN;F16ALDOLASE-RXN;GAPOXNPHOSPHN-RXN;RXN-15513;PHOSGLYPHOS-RXN;TRIOSEPISOMERIZATION-RXN;GLUCOKIN-RXN	6PFRUCTPHOS-RXN;2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;PGLUCISOM-RXN;F16ALDOLASE-RXN;GAPOXNPHOSPHN-RXN;RXN-15513;PHOSGLYPHOS-RXN;TRIOSEPISOMERIZATION-RXN;GLUCOKIN-RXN	6PFRUCTPHOS-RXN;2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;PGLUCISOM-RXN;RXN-15513;TRIOSEPISOMERIZATION-RXN;GLUCOKIN-RXN
PWY-6587	NA	NA	NA	ALCOHOL-DEHYDROG-RXN	PYRUFLAVREDUCT-RXN;ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN
PWY-7318	NA	NA	NA	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPGLUCDEHYDRAT-RXN
PWY-7550	NA			RXN-18089;RXN-15804		
PWY-7301	NA	NA	NA	DTDPGLUCOSEPP-RXN;DTDPDEHYDRHAMEPIM-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPDEHYDRHAMEPIM-RXN;DTDPGLUCDEHYDRAT-RXN	DTDPGLUCOSEPP-RXN;DTDPDEHYDRHAMEPIM-RXN;DTDPGLUCDEHYDRAT-RXN
PWY-7622	NA	NA	NA	GALPMUT-RXN;PWY-7344	GALPMUT-RXN;PWY-7344	GALPMUT-RXN;PWY-7344
PPGPPMET-PWY	NA	NA	NA	GDPPYPHOSKIN-RXN;GTPPYPHOSKIN-RXN;PPPGPPHYDRO-RXN	GDPPYPHOSKIN-RXN;GTPPYPHOSKIN-RXN	GDPPYPHOSKIN-RXN;GDPKIN-RXN;GTPPYPHOSKIN-RXN
PWY-5538	NA	NA		SUCCCOASYN-RXN	PYRUFLAVREDUCT-RXN	
PWY-5885	NA	NA		RXN-7904	RXN-7904	
PWY-8137	NA	NA	NA	RXN-20456;RXN-20457	RXN-20456;RXN-20457	RXN-20456;RXN-20457
PWY-6754	NA	NA	NA	METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN
PWY-7039	NA	NA	NA	DIACYLGLYKIN-RXN	DIACYLGLYKIN-RXN	DIACYLGLYKIN-RXN
GLYCOLYSIS	NA	NA	NA	2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;PGLUCISOM-RXN;F16ALDOLASE-RXN;GAPOXNPHOSPHN-RXN;PHOSGLYPHOS-RXN;TRIOSEPISOMERIZATION-RXN;RXN-15513	6PFRUCTPHOS-RXN;2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;PGLUCISOM-RXN;F16ALDOLASE-RXN;F16BDEPHOS-RXN;GAPOXNPHOSPHN-RXN;PHOSGLYPHOS-RXN;TRIOSEPISOMERIZATION-RXN;RXN-15513	6PFRUCTPHOS-RXN;2PGADEHYDRAT-RXN;PEPDEPHOS-RXN;PGLUCISOM-RXN;F16BDEPHOS-RXN;TRIOSEPISOMERIZATION-RXN;RXN-15513
PWY-7400	NA	NA	NA	CARBPSYN-RXN;ARGSUCCINLYA-RXN;ARGSUCCINSYN-RXN;ORNCARBAMTRANSFER-RXN	CARBPSYN-RXN;ARGSUCCINLYA-RXN;ARGSUCCINSYN-RXN;ORNCARBAMTRANSFER-RXN	CARBPSYN-RXN;ARGSUCCINLYA-RXN;ARGSUCCINSYN-RXN;ORNCARBAMTRANSFER-RXN
