reaction	B_breve_689b_C	Lco_lactis_1064-C11_S	St_thermophilus_CBC-S77_S	B_breve_689b_C_genes_assoc (sep=;)	Lco_lactis_1064-C11_S_genes_assoc (sep=;)	St_thermophilus_CBC-S77_S_genes_assoc (sep=;)	B_breve_689b_C_formula	Lco_lactis_1064-C11_S_formula	St_thermophilus_CBC-S77_S_formula
3.1.13.5-RXN	1	0	0	KFKCNJGC_00838			1 tRNA-precursors[c] + 1 WATER[c] => 1 Nucleoside-Monophosphates[c] + 1 All-tRNAs[c]		
ALPHA-AMYL-RXN	1	1	0	KFKCNJGC_00107	PPHIGDPK_00416;PPHIGDPK_01342		n WATER[c] + 1 1-4-alpha-D-Glucan[c] => n 1-4-alpha-D-Glucan[c]	n WATER[c] + 1 1-4-alpha-D-Glucan[c] => n 1-4-alpha-D-Glucan[c]	
HEXOKINASE-RXN	1	1	1	KFKCNJGC_01301;KFKCNJGC_00877;KFKCNJGC_01548	PPHIGDPK_01672	NDNNOAAD_01580	1 D-Hexoses[c] + 1 ATP[c] => 1 ADP[c] + 1 D-HEXOSE-6-PHOSPHATE[c] + 1 PROTON[c]	1 D-Hexoses[c] + 1 ATP[c] => 1 ADP[c] + 1 D-HEXOSE-6-PHOSPHATE[c] + 1 PROTON[c]	1 D-Hexoses[c] + 1 ATP[c] => 1 ADP[c] + 1 D-HEXOSE-6-PHOSPHATE[c] + 1 PROTON[c]
RXN-1828	1	1	1	KFKCNJGC_00106;KFKCNJGC_01716	PPHIGDPK_02101	NDNNOAAD_00962	1 Long-linear-glucans[c] + 1 ALPHA-GLUCOSE[c] <=> 2 Short-Alpha-14-Glucans[c]	1 Long-linear-glucans[c] + 1 ALPHA-GLUCOSE[c] <=> 2 Short-Alpha-14-Glucans[c]	1 Long-linear-glucans[c] + 1 ALPHA-GLUCOSE[c] <=> 2 Short-Alpha-14-Glucans[c]
3.5.1.88-RXN	1	1	1	KFKCNJGC_01140;KFKCNJGC_01544;KFKCNJGC_00499	PPHIGDPK_00692	NDNNOAAD_00705;NDNNOAAD_00519	1 FORMYL-L-METHIONYL-PEPTIDE[c] + 1 WATER[c] => 1 FORMATE[c] + 1 METHIONYL-PEPTIDE[c]	1 FORMYL-L-METHIONYL-PEPTIDE[c] + 1 WATER[c] => 1 FORMATE[c] + 1 METHIONYL-PEPTIDE[c]	1 FORMYL-L-METHIONYL-PEPTIDE[c] + 1 WATER[c] => 1 FORMATE[c] + 1 METHIONYL-PEPTIDE[c]
RXN-8631	1	1	0	KFKCNJGC_00086	PPHIGDPK_01543		1 FRU1P[c] <=> 1 DIHYDROXY-ACETONE-PHOSPHATE[c] + 1 GLYCERALD[c]	1 FRU1P[c] <=> 1 DIHYDROXY-ACETONE-PHOSPHATE[c] + 1 GLYCERALD[c]	
RXNQT-4171	1	1	1	KFKCNJGC_00471	PPHIGDPK_01508	NDNNOAAD_01476	1 CPDQT-38[c] + 1 NAD[c] => 1 CPDQT-29[c] + 1 CARBON-DIOXIDE[c] + 1 NADH[c]	1 CPDQT-38[c] + 1 NAD[c] => 1 CPDQT-29[c] + 1 CARBON-DIOXIDE[c] + 1 NADH[c]	1 CPDQT-38[c] + 1 NAD[c] => 1 CPDQT-29[c] + 1 CARBON-DIOXIDE[c] + 1 NADH[c]
NADH-DEHYDROG-A-RXN	1	1	1	KFKCNJGC_01827	PPHIGDPK_00998;PPHIGDPK_01829;PPHIGDPK_00949	NDNNOAAD_01181	1 NADH[c] + 1 Ubiquinones[c] + 5 PROTON[c] <=> 4 PROTON[e] + 1 NAD[c] + 1 Ubiquinols[c]	1 NADH[c] + 1 Ubiquinones[c] + 5 PROTON[c] <=> 4 PROTON[e] + 1 NAD[c] + 1 Ubiquinols[c]	1 NADH[c] + 1 Ubiquinones[c] + 5 PROTON[c] <=> 4 PROTON[e] + 1 NAD[c] + 1 Ubiquinols[c]
RXN-12540	1	1	1				1 HYDROGEN-PEROXIDE[c] + 1 FE+2[c] => 1 CPD-12377[c] + 1 OH[c] + 1 FE+3[c]	1 HYDROGEN-PEROXIDE[c] + 1 FE+2[c] => 1 OH[c] + 1 FE+3[c] + 1 CPD-12377[c]	1 HYDROGEN-PEROXIDE[c] + 1 FE+2[c] => 1 CPD-12377[c] + 1 OH[c] + 1 FE+3[c]
RXN-9718	1	0	0	KFKCNJGC_00907			1 ACETOIN[c] + 1 CO-A[c] + 1 NAD[c] => 1 ACETALD[c] + 1 ACETYL-COA[c] + 1 NADH[c] + 1 PROTON[c]		
