NDNNOAAD_00025-MONOMER	NDNNOAAD_00025		N-alpha-acetyltransferase RimI	
NDNNOAAD_00675-MONOMER	NDNNOAAD_00675		Oligopeptide transport ATP-binding protein OppF	
NDNNOAAD_00026-MONOMER	NDNNOAAD_00026		tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	
NDNNOAAD_00676-MONOMER	NDNNOAAD_00676		hypothetical protein	
NDNNOAAD_00027-MONOMER	NDNNOAAD_00027		hypothetical protein	
NDNNOAAD_00677-MONOMER	NDNNOAAD_00677		ABC-type transporter ATP-binding protein EcsA	
NDNNOAAD_00028-MONOMER	NDNNOAAD_00028		Ribonuclease J 1	
NDNNOAAD_00678-MONOMER	NDNNOAAD_00678		HTH-type transcriptional repressor YtrA	
NDNNOAAD_00679-MONOMER	NDNNOAAD_00679		5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI	
NDNNOAAD_00680-MONOMER	NDNNOAAD_00680		Putative phosphatase	
NDNNOAAD_00681-MONOMER	NDNNOAAD_00681		Signal recognition particle receptor FtsY	
NDNNOAAD_00682-MONOMER	NDNNOAAD_00682		Guanylate kinase	
NDNNOAAD_00683-MONOMER	NDNNOAAD_00683		DNA-directed RNA polymerase subunit omega	
NDNNOAAD_00684-MONOMER	NDNNOAAD_00684		Primosomal protein N'	
NDNNOAAD_00685-MONOMER	NDNNOAAD_00685		Methionyl-tRNA formyltransferase	
NDNNOAAD_00686-MONOMER	NDNNOAAD_00686		Ribosomal RNA small subunit methyltransferase B	
NDNNOAAD_01444-MONOMER	NDNNOAAD_01444		RNA polymerase-associated protein RapA	
NDNNOAAD_00687-MONOMER	NDNNOAAD_00687		Putative protein phosphatase 2C-type	
NDNNOAAD_01445-MONOMER	NDNNOAAD_01445		hypothetical protein	
NDNNOAAD_00688-MONOMER	NDNNOAAD_00688		Serine/threonine-protein kinase StkP	
NDNNOAAD_01446-MONOMER	NDNNOAAD_01446		UDP-N-acetylmuramate--L-alanine ligase	
NDNNOAAD_01447-MONOMER	NDNNOAAD_01447		hypothetical protein	
NDNNOAAD_01448-MONOMER	NDNNOAAD_01448		Endolytic murein transglycosylase	
NDNNOAAD_00010-MONOMER	NDNNOAAD_00010		hypothetical protein	
NDNNOAAD_01449-MONOMER	NDNNOAAD_01449		Transcription elongation factor GreA	
NDNNOAAD_00011-MONOMER	NDNNOAAD_00011		hypothetical protein	
NDNNOAAD_00012-MONOMER	NDNNOAAD_00012		hypothetical protein	
NDNNOAAD_00013-MONOMER	NDNNOAAD_00013		hypothetical protein	
NDNNOAAD_00014-MONOMER	NDNNOAAD_00014		Homoserine kinase	
NDNNOAAD_00015-MONOMER	NDNNOAAD_00015		Homoserine dehydrogenase	
NDNNOAAD_00016-MONOMER	NDNNOAAD_00016		Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase	
NDNNOAAD_00017-MONOMER	NDNNOAAD_00017		Acetylornithine aminotransferase	
NDNNOAAD_00018-MONOMER	NDNNOAAD_00018		Acetylglutamate kinase	
NDNNOAAD_00019-MONOMER	NDNNOAAD_00019		Arginine biosynthesis bifunctional protein ArgJ	
NDNNOAAD_00020-MONOMER	NDNNOAAD_00020		N-acetyl-gamma-glutamyl-phosphate reductase	
NDNNOAAD_00021-MONOMER	NDNNOAAD_00021		LL-diaminopimelate aminotransferase	
NDNNOAAD_00022-MONOMER	NDNNOAAD_00022		2-oxoglutaramate amidase	
NDNNOAAD_00023-MONOMER	NDNNOAAD_00023		hypothetical protein	
NDNNOAAD_01441-MONOMER	NDNNOAAD_01441		Ribose-5-phosphate isomerase A	
NDNNOAAD_01442-MONOMER	NDNNOAAD_01442		Phosphopentomutase	
NDNNOAAD_01443-MONOMER	NDNNOAAD_01443		hypothetical protein	
NDNNOAAD_00651-MONOMER	NDNNOAAD_00651		Tyrosine--tRNA ligase	
NDNNOAAD_00652-MONOMER	NDNNOAAD_00652		Ketol-acid reductoisomerase (NADP(+))	
NDNNOAAD_00008-MONOMER	NDNNOAAD_00008		hypothetical protein	
NDNNOAAD_00653-MONOMER	NDNNOAAD_00653		Acetolactate synthase small subunit	
NDNNOAAD_00007-MONOMER	NDNNOAAD_00007		Replication initiation protein	
NDNNOAAD_00654-MONOMER	NDNNOAAD_00654		Acetolactate synthase large subunit	
NDNNOAAD_00006-MONOMER	NDNNOAAD_00006		Putative 2-aminoethylphosphonate import ATP-binding protein PhnT	
NDNNOAAD_00655-MONOMER	NDNNOAAD_00655		Dihydroxy-acid dehydratase	
NDNNOAAD_00005-MONOMER	NDNNOAAD_00005		hypothetical protein	
NDNNOAAD_00656-MONOMER	NDNNOAAD_00656		hypothetical protein	
NDNNOAAD_00004-MONOMER	NDNNOAAD_00004		Sporulation killing factor maturation protein SkfB	
NDNNOAAD_00657-MONOMER	NDNNOAAD_00657		hypothetical protein	
